日付,時刻,始値,高値,安値,終値,出来高,TREND,EP,AF,PSAR
2025/01/10,09:00,1910.5 ,1917.0 ,1905.5 ,1908.0 ,3857100,,,,
2025/01/10,09:01,1907.5 ,1907.5 ,1898.0 ,1898.0 ,2637100,-1 ,1898.0 ,0.02 ,1898.000 
2025/01/10,09:02,1898.5 ,1900.0 ,1891.0 ,1892.5 ,1091000,1 ,1891.0 ,0.02 ,1898.000 
2025/01/10,09:03,1892.5 ,1895.5 ,1891.0 ,1895.0 ,378000,-1 ,1891.0 ,0.02 ,1891.000 
2025/01/10,09:04,1895.0 ,1902.0 ,1894.5 ,1901.5 ,440900,1 ,1902.0 ,0.02 ,1891.000 
2025/01/10,09:05,1901.5 ,1907.0 ,1901.5 ,1902.0 ,481200,1 ,1907.0 ,0.04 ,1891.640 
2025/01/10,09:06,1902.0 ,1903.0 ,1899.5 ,1901.0 ,289600,1 ,1907.0 ,0.04 ,1892.254 
2025/01/10,09:07,1901.0 ,1903.0 ,1898.5 ,1902.5 ,228500,1 ,1907.0 ,0.04 ,1892.844 
2025/01/10,09:08,1903.0 ,1906.0 ,1901.5 ,1904.0 ,182600,1 ,1907.0 ,0.04 ,1893.410 
2025/01/10,09:09,1903.5 ,1906.0 ,1902.5 ,1905.0 ,186800,1 ,1907.0 ,0.04 ,1893.954 
2025/01/10,09:10,1905.5 ,1909.0 ,1905.0 ,1908.5 ,334100,1 ,1909.0 ,0.06 ,1894.857 
2025/01/10,09:11,1908.5 ,1911.5 ,1908.5 ,1911.0 ,291300,1 ,1911.5 ,0.08 ,1896.188 
2025/01/10,09:12,1911.0 ,1913.0 ,1910.5 ,1913.0 ,357000,1 ,1913.0 ,0.10 ,1897.869 
2025/01/10,09:13,1913.0 ,1913.0 ,1910.5 ,1911.0 ,145400,1 ,1913.0 ,0.10 ,1899.382 
2025/01/10,09:14,1910.5 ,1910.5 ,1906.5 ,1907.5 ,252800,1 ,1913.0 ,0.10 ,1900.744 
2025/01/10,09:15,1907.0 ,1909.0 ,1904.0 ,1905.0 ,238000,1 ,1913.0 ,0.10 ,1901.970 
2025/01/10,09:16,1905.0 ,1906.5 ,1904.0 ,1906.5 ,85600,1 ,1913.0 ,0.10 ,1903.073 
2025/01/10,09:17,1907.0 ,1910.0 ,1907.0 ,1908.0 ,147300,1 ,1913.0 ,0.10 ,1904.066 
