銘柄名称,市場名称,足種,日付,時刻,始値,高値,安値,終値,出来高,H_Open,H_High,H_Low,H_Close,TREND,EP,AF,PSAR,Period,Diff
三菱ＵＦＪフィナンシャルＧ,東証,1M,2025/01/28,15:30,1969.5 ,1969.5 ,1969.5 ,1969.5 ,4096700,,,,,,,,,,
,,,2025/01/29,09:00,1975.0 ,1975.0 ,1964.0 ,1966.5 ,5899600,,,,,,,,,,
,,,2025/01/29,09:01,1967.0 ,1973.0 ,1964.5 ,1966.5 ,871000,1970.13 ,1973.00 ,1964.50 ,1967.75 ,,,,,,
,,,2025/01/29,09:02,1966.0 ,1971.5 ,1965.0 ,1969.0 ,622800,1968.94 ,1971.50 ,1965.00 ,1967.88 ,1,1971.50 ,0.02 ,1971.50 ,0,
,,,2025/01/29,09:03,1968.5 ,1974.0 ,1968.0 ,1970.5 ,667700,1968.41 ,1974.00 ,1968.00 ,1970.25 ,-1,1974.00 ,0.02 ,1971.50 ,0,
,,,2025/01/29,09:04,1970.0 ,1971.5 ,1968.0 ,1968.5 ,314300,1969.33 ,1971.50 ,1968.00 ,1969.50 ,-1,1968.00 ,0.04 ,1971.36 ,1,2.0 
,,,2025/01/29,09:05,1968.5 ,1970.0 ,1966.0 ,1969.5 ,545500,1969.41 ,1970.00 ,1966.00 ,1968.50 ,-1,1966.00 ,0.06 ,1971.04 ,2,1.0 
,,,2025/01/29,09:06,1969.5 ,1973.0 ,1968.5 ,1970.0 ,407600,1968.96 ,1973.00 ,1968.50 ,1970.25 ,1,1968.50 ,0.02 ,1966.00 ,0,
,,,2025/01/29,09:07,1970.0 ,1971.0 ,1965.0 ,1966.0 ,546100,1969.60 ,1971.00 ,1965.00 ,1968.00 ,-1,1971.00 ,0.02 ,1968.50 ,0,
,,,2025/01/29,09:08,1966.0 ,1967.5 ,1963.5 ,1964.0 ,718400,1968.80 ,1968.80 ,1963.50 ,1965.25 ,1,1963.50 ,0.02 ,1971.00 ,0,
,,,2025/01/29,09:09,1963.5 ,1965.5 ,1963.0 ,1965.0 ,266000,1967.03 ,1967.03 ,1963.00 ,1964.25 ,-1,1963.00 ,0.02 ,1963.50 ,0,
,,,2025/01/29,09:10,1965.0 ,1967.0 ,1963.5 ,1964.0 ,334500,1965.64 ,1967.00 ,1963.50 ,1964.88 ,1,1967.00 ,0.02 ,1963.00 ,0,
,,,2025/01/29,09:11,1964.5 ,1966.0 ,1962.0 ,1962.5 ,382300,1965.26 ,1966.00 ,1962.00 ,1963.75 ,-1,1966.00 ,0.02 ,1967.00 ,0,
