銘柄名称,市場名称,足種,日付,時刻,始値,高値,安値,終値,出来高,H_Open,H_High,H_Low,H_Close,TREND,EP,AF,PSAR,Period,Diff,Slope,IQR
三菱ＵＦＪフィナンシャルＧ,東証,1M,2025/02/27,15:30,1940.5 ,1940.5 ,1940.5 ,1940.5 ,5026300,,,,,,,,,,,,
,,,2025/02/28,09:00,1929.0 ,1931.5 ,1927.0 ,1929.5 ,2443000,,,,,,,,,,,,
,,,2025/02/28,09:01,1929.0 ,1930.5 ,1926.5 ,1930.0 ,386500,1929.25 ,1930.50 ,1926.50 ,1929.00 ,,,,,,,,
,,,2025/02/28,09:02,1929.5 ,1930.0 ,1925.0 ,1925.0 ,322300,1929.13 ,1930.00 ,1925.00 ,1927.38 ,-1,1925.00 ,0.02 ,1925.00 ,0,0.0 ,,2.00 
,,,2025/02/28,09:03,1925.0 ,1926.0 ,1922.0 ,1923.5 ,336000,1928.25 ,1928.25 ,1922.00 ,1924.13 ,1,1922.00 ,0.02 ,1925.00 ,0,0.0 ,,4.50 
,,,2025/02/28,09:04,1923.5 ,1925.0 ,1922.0 ,1922.5 ,354200,1926.19 ,1926.19 ,1922.00 ,1923.25 ,-1,1926.19 ,0.02 ,1922.00 ,0,0.0 ,,1.50 
,,,2025/02/28,09:05,1923.0 ,1928.0 ,1921.0 ,1927.0 ,407700,1924.72 ,1928.00 ,1921.00 ,1924.75 ,1,1921.00 ,0.02 ,1926.19 ,0,0.0 ,,1.50 
,,,2025/02/28,09:06,1927.5 ,1928.0 ,1925.5 ,1926.0 ,82000,1924.73 ,1928.00 ,1924.73 ,1926.75 ,-1,1928.00 ,0.02 ,1921.00 ,0,0.0 ,,3.25 
,,,2025/02/28,09:07,1926.0 ,1926.5 ,1923.5 ,1923.5 ,100200,1925.74 ,1926.50 ,1923.50 ,1924.88 ,1,1928.00 ,0.02 ,1928.00 ,0,0.0 ,,2.00 
,,,2025/02/28,09:08,1923.5 ,1926.0 ,1922.5 ,1925.5 ,73300,1925.31 ,1926.00 ,1922.50 ,1924.38 ,-1,1922.50 ,0.02 ,1928.00 ,0,0.0 ,,1.38 
,,,2025/02/28,09:09,1925.5 ,1927.5 ,1925.0 ,1927.5 ,124200,1924.84 ,1927.50 ,1924.84 ,1926.38 ,-1,1922.50 ,0.02 ,1927.89 ,1,-2.0 ,2.0 ,2.00 
,,,2025/02/28,09:10,1927.5 ,1929.0 ,1927.0 ,1928.0 ,75400,1925.61 ,1929.00 ,1925.61 ,1927.88 ,1,1925.61 ,0.02 ,1922.50 ,0,0.0 ,,2.00 
,,,2025/02/28,09:11,1928.0 ,1931.0 ,1927.5 ,1930.5 ,260500,1926.74 ,1931.00 ,1926.74 ,1929.25 ,1,1931.00 ,0.04 ,1922.84 ,1,2.5 ,2.5 ,1.50 
,,,2025/02/28,09:12,1930.0 ,1930.0 ,1927.0 ,1927.0 ,266500,1928.00 ,1930.00 ,1927.00 ,1928.50 ,1,1931.00 ,0.04 ,1923.17 ,2,-1.0 ,-3.5 ,1.75 
,,,2025/02/28,09:13,1927.0 ,1931.0 ,1927.0 ,1928.5 ,191900,1928.25 ,1931.00 ,1927.00 ,1928.38 ,1,1931.00 ,0.04 ,1923.48 ,3,0.5 ,1.5 ,1.75 
,,,2025/02/28,09:14,1928.0 ,1928.5 ,1924.0 ,1924.5 ,372000,1928.31 ,1928.50 ,1924.00 ,1926.25 ,1,1931.00 ,0.04 ,1923.78 ,4,-3.5 ,-4.0 ,5.50 
,,,2025/02/28,09:15,1924.5 ,1925.5 ,1923.5 ,1924.5 ,150600,1927.28 ,1927.28 ,1923.50 ,1924.50 ,-1,1927.28 ,0.02 ,1931.00 ,0,0.0 ,,1.25 
,,,2025/02/28,09:16,1924.0 ,1924.5 ,1921.5 ,1922.0 ,156200,1925.89 ,1925.89 ,1921.50 ,1923.00 ,-1,1921.50 ,0.04 ,1930.62 ,1,2.5 ,-2.5 ,2.00 
,,,2025/02/28,09:17,1922.5 ,1925.0 ,1922.5 ,1923.0 ,99400,1924.45 ,1925.00 ,1922.50 ,1923.25 ,-1,1921.50 ,0.04 ,1930.26 ,2,1.5 ,1.0 ,1.00 
