銘柄名称,市場名称,足種,日付,時刻,始値,高値,安値,終値,出来高,H_Open,H_High,H_Low,H_Close,TREND,EP,AF,PSAR,Period,Diff,Slope,IQR
トヨタ自動車,東証,1M,2025/03/04,15:30,2753.5 ,2753.5 ,2753.5 ,2753.5 ,4624400,,,,,,,,,,,,
,,,2025/03/05,09:00,2775.0 ,2803.0 ,2765.0 ,2802.5 ,2545000,,,,,,,,,,,,
,,,2025/03/05,09:01,2801.5 ,2812.5 ,2797.5 ,2810.5 ,531500,2786.38 ,2812.50 ,2786.38 ,2805.50 ,,,,,,,,
,,,2025/03/05,09:02,2810.0 ,2825.5 ,2807.5 ,2825.0 ,627100,2795.94 ,2825.50 ,2795.94 ,2817.00 ,1,2825.50 ,0.02 ,2825.50 ,0,0.0 ,,15.50 
,,,2025/03/05,09:03,2826.0 ,2838.0 ,2825.0 ,2830.5 ,570400,2806.47 ,2838.00 ,2806.47 ,2829.88 ,-1,2838.00 ,0.02 ,2825.50 ,0,0.0 ,,25.50 
,,,2025/03/05,09:04,2829.5 ,2838.0 ,2827.5 ,2832.0 ,498200,2818.17 ,2838.00 ,2818.17 ,2831.75 ,1,2818.17 ,0.02 ,2838.00 ,0,0.0 ,,4.00 
,,,2025/03/05,09:05,2832.5 ,2832.5 ,2822.0 ,2823.0 ,247000,2824.96 ,2832.50 ,2822.00 ,2827.50 ,-1,2818.17 ,0.02 ,2818.17 ,0,0.0 ,,5.50 
,,,2025/03/05,09:06,2823.5 ,2832.5 ,2818.5 ,2832.0 ,371000,2826.23 ,2832.50 ,2818.50 ,2826.63 ,1,2832.50 ,0.02 ,2818.17 ,0,0.0 ,,4.63 
,,,2025/03/05,09:07,2831.0 ,2838.0 ,2830.0 ,2834.5 ,360600,2826.43 ,2838.00 ,2826.43 ,2833.38 ,1,2838.00 ,0.04 ,2818.97 ,1,2.5 ,2.5 ,11.13 
,,,2025/03/05,09:08,2834.5 ,2843.0 ,2834.5 ,2837.0 ,397700,2829.90 ,2843.00 ,2829.90 ,2837.25 ,1,2843.00 ,0.06 ,2820.41 ,2,5.0 ,2.5 ,2.63 
,,,2025/03/05,09:09,2836.5 ,2838.5 ,2832.0 ,2836.5 ,204100,2833.58 ,2838.50 ,2832.00 ,2835.88 ,1,2843.00 ,0.06 ,2821.76 ,3,4.5 ,-0.5 ,2.50 
,,,2025/03/05,09:10,2837.0 ,2837.5 ,2831.5 ,2833.0 ,127800,2834.73 ,2837.50 ,2831.50 ,2834.75 ,1,2843.00 ,0.06 ,2823.04 ,4,1.0 ,-3.5 ,1.63 
,,,2025/03/05,09:11,2833.0 ,2842.0 ,2832.5 ,2841.5 ,255800,2834.74 ,2842.00 ,2832.50 ,2837.25 ,1,2843.00 ,0.06 ,2824.23 ,5,9.5 ,8.5 ,5.13 
,,,2025/03/05,09:12,2841.0 ,2843.5 ,2837.5 ,2843.0 ,227800,2835.99 ,2843.50 ,2835.99 ,2841.25 ,1,2843.50 ,0.08 ,2825.78 ,6,11.0 ,1.5 ,2.75 
,,,2025/03/05,09:13,2844.0 ,2846.0 ,2840.0 ,2841.0 ,349400,2838.62 ,2846.00 ,2838.62 ,2842.75 ,1,2846.00 ,0.10 ,2827.80 ,7,9.0 ,-2.0 ,2.00 
,,,2025/03/05,09:14,2840.0 ,2849.0 ,2840.0 ,2848.0 ,231000,2840.69 ,2849.00 ,2840.00 ,2844.25 ,1,2849.00 ,0.12 ,2830.34 ,8,16.0 ,7.0 ,2.00 
,,,2025/03/05,09:15,2848.5 ,2851.0 ,2837.0 ,2840.5 ,692400,2842.47 ,2851.00 ,2837.00 ,2844.25 ,1,2851.00 ,0.14 ,2833.23 ,9,8.5 ,-7.5 ,5.75 
,,,2025/03/05,09:16,2840.0 ,2840.5 ,2832.5 ,2835.0 ,138900,2843.36 ,2843.36 ,2832.50 ,2837.00 ,-1,2843.36 ,0.02 ,2851.00 ,0,0.0 ,,3.13 
,,,2025/03/05,09:17,2835.0 ,2835.5 ,2827.0 ,2827.0 ,234100,2840.18 ,2840.18 ,2827.00 ,2831.13 ,-1,2827.00 ,0.04 ,2850.04 ,1,8.0 ,8.0 ,6.50 
,,,2025/03/05,09:18,2827.5 ,2829.5 ,2818.0 ,2818.5 ,188300,2835.65 ,2835.65 ,2818.00 ,2823.38 ,-1,2818.00 ,0.06 ,2848.12 ,2,16.5 ,8.5 ,7.00 
,,,2025/03/05,09:19,2818.5 ,2822.0 ,2815.5 ,2820.0 ,176200,2829.51 ,2829.51 ,2815.50 ,2819.00 ,-1,2815.50 ,0.08 ,2845.51 ,3,15.0 ,-1.5 ,6.13 
,,,2025/03/05,09:20,2820.0 ,2823.0 ,2819.0 ,2819.5 ,112300,2824.26 ,2824.26 ,2819.00 ,2820.38 ,-1,2815.50 ,0.08 ,2843.11 ,4,15.5 ,0.5 ,2.50 
,,,2025/03/05,09:21,2819.5 ,2820.0 ,2810.5 ,2811.0 ,212500,2822.32 ,2822.32 ,2810.50 ,2815.25 ,-1,2810.50 ,0.10 ,2839.85 ,5,24.0 ,8.5 ,7.25 
,,,2025/03/05,09:22,2811.5 ,2814.0 ,2809.0 ,2812.0 ,142800,2818.78 ,2818.78 ,2809.00 ,2811.63 ,-1,2809.00 ,0.12 ,2836.15 ,6,23.0 ,-1.0 ,2.50 
,,,2025/03/05,09:23,2812.5 ,2815.5 ,2809.0 ,2812.0 ,98400,2815.20 ,2815.50 ,2809.00 ,2812.25 ,-1,2809.00 ,0.12 ,2832.89 ,7,23.0 ,0.0 ,2.50 
,,,2025/03/05,09:24,2811.0 ,2812.0 ,2809.0 ,2810.5 ,104200,2813.73 ,2813.73 ,2809.00 ,2810.63 ,-1,2809.00 ,0.12 ,2830.02 ,8,24.5 ,1.5 ,2.50 
,,,2025/03/05,09:25,2810.0 ,2811.0 ,2805.0 ,2805.0 ,104500,2812.18 ,2812.18 ,2805.00 ,2807.75 ,-1,2805.00 ,0.14 ,2826.52 ,9,30.0 ,5.5 ,2.75 
,,,2025/03/05,09:26,2805.0 ,2808.5 ,2803.0 ,2804.5 ,132400,2809.96 ,2809.96 ,2803.00 ,2805.25 ,-1,2803.00 ,0.16 ,2822.76 ,10,30.5 ,0.5 ,2.25 
,,,2025/03/05,09:27,2805.0 ,2813.0 ,2801.5 ,2813.0 ,191000,2807.61 ,2813.00 ,2801.50 ,2808.13 ,-1,2801.50 ,0.18 ,2818.93 ,11,22.0 ,-8.5 ,2.63 
,,,2025/03/05,09:28,2812.5 ,2822.5 ,2812.5 ,2822.0 ,171200,2807.87 ,2822.50 ,2807.87 ,2817.38 ,1,2807.87 ,0.02 ,2801.50 ,0,0.0 ,,15.00 
,,,2025/03/05,09:29,2822.5 ,2828.5 ,2822.5 ,2827.5 ,149200,2812.62 ,2828.50 ,2812.62 ,2825.25 ,1,2828.50 ,0.04 ,2802.58 ,1,5.5 ,5.5 ,4.00 
,,,2025/03/05,09:30,2827.0 ,2832.0 ,2826.0 ,2827.0 ,184000,2818.94 ,2832.00 ,2818.94 ,2828.00 ,1,2832.00 ,0.06 ,2804.35 ,2,5.0 ,-0.5 ,3.50 
,,,2025/03/05,09:31,2827.5 ,2827.5 ,2820.0 ,2822.5 ,120800,2823.47 ,2827.50 ,2820.00 ,2824.38 ,1,2832.00 ,0.06 ,2806.00 ,3,0.5 ,-4.5 ,3.63 
,,,2025/03/05,09:32,2823.0 ,2827.5 ,2819.0 ,2826.5 ,134900,2823.92 ,2827.50 ,2819.00 ,2824.00 ,1,2832.00 ,0.06 ,2807.56 ,4,4.5 ,4.0 ,4.00 
,,,2025/03/05,09:33,2826.5 ,2828.0 ,2823.5 ,2824.0 ,102200,2823.96 ,2828.00 ,2823.50 ,2825.50 ,1,2832.00 ,0.06 ,2809.03 ,5,2.0 ,-2.5 ,2.00 
,,,2025/03/05,09:34,2823.5 ,2824.0 ,2818.0 ,2823.5 ,114800,2824.73 ,2824.73 ,2818.00 ,2822.25 ,1,2832.00 ,0.06 ,2810.41 ,6,1.5 ,-0.5 ,4.50 
