時刻,株価
09:00:00,1820.0 
09:00:03,1819.5 
09:00:04,1817.0 
09:00:06,1817.5 
09:00:09,1817.5 
09:00:10,1817.0 
09:00:13,1817.0 
09:00:16,1817.5 
09:00:17,1816.0 
09:00:19,1816.0 
09:00:21,1816.5 
09:00:25,1816.0 
09:00:28,1819.0 
09:00:29,1819.5 
09:00:30,1818.0 
09:00:34,1819.0 
09:00:36,1820.0 
09:00:37,1819.5 
09:00:39,1820.0 
09:00:40,1819.5 
09:00:43,1820.5 
09:00:45,1820.0 
09:00:48,1820.0 
09:00:49,1821.0 
09:00:52,1821.0 
09:00:54,1821.5 
09:00:56,1821.5 
09:00:58,1822.5 
09:00:59,1822.5 
09:01:02,1824.5 
09:01:04,1824.0 
09:01:06,1824.5 
09:01:08,1824.0 
09:01:10,1823.5 
09:01:12,1825.0 
09:01:14,1824.5 
09:01:16,1825.0 
09:01:18,1825.5 
09:01:20,1825.0 
09:01:22,1825.0 
09:01:24,1826.0 
09:01:26,1826.0 
09:01:27,1826.0 
09:01:30,1825.0 
09:01:33,1824.5 
09:01:34,1824.5 
09:01:36,1824.0 
09:01:37,1824.0 
09:01:40,1823.5 
09:01:43,1824.5 
09:01:45,1824.0 
09:01:48,1824.5 
09:01:50,1824.0 
09:01:52,1823.5 
09:01:53,1824.0 
09:01:56,1823.0 
09:01:58,1823.0 
09:02:00,1823.0 
09:02:02,1823.5 
09:02:04,1822.5 
09:02:06,1822.0 
09:02:08,1822.5 
09:02:10,1823.0 
09:02:12,1824.0 
09:02:13,1824.5 
09:02:16,1825.5 
09:02:19,1826.5 
09:02:20,1825.5 
09:02:23,1825.0 
09:02:26,1825.5 
09:02:28,1826.0 
09:02:30,1827.0 
09:02:31,1826.5 
09:02:34,1827.0 
09:02:36,1827.0 
09:02:38,1827.0 
09:02:40,1827.0 
09:02:42,1828.5 
09:02:44,1827.0 
09:02:45,1827.0 
09:02:48,1827.0 
09:02:50,1827.5 
09:02:52,1827.5 
09:02:55,1827.5 
09:02:56,1827.5 
09:02:58,1829.0 
09:03:01,1829.0 
09:03:02,1828.5 
09:03:05,1829.0 
09:03:07,1829.0 
09:03:09,1829.5 
09:03:10,1829.5 
09:03:12,1829.5 
09:03:14,1829.5 
09:03:16,1832.0 
09:03:18,1831.5 
09:03:20,1832.0 
09:03:22,1831.5 
09:03:24,1831.5 
09:03:26,1832.0 
09:03:29,1832.5 
09:03:30,1832.5 
09:03:33,1832.0 
09:03:35,1832.0 
09:03:37,1831.5 
09:03:39,1831.0 
09:03:41,1831.5 
09:03:43,1832.0 
09:03:45,1832.0 
09:03:47,1832.0 
09:03:49,1831.5 
09:03:50,1832.0 
09:03:53,1831.5 
09:03:55,1832.5 
09:03:57,1832.5 
09:03:59,1832.5 
09:04:01,1832.5 
09:04:03,1831.0 
09:04:06,1831.0 
09:04:07,1830.0 
09:04:09,1828.5 
09:04:12,1827.5 
09:04:13,1827.5 
09:04:15,1827.5 
09:04:18,1826.0 
09:04:19,1826.0 
09:04:22,1826.5 
09:04:24,1827.5 
09:04:26,1827.5 
09:04:28,1828.0 
09:04:29,1828.5 
09:04:31,1828.5 
09:04:33,1827.5 
09:04:35,1827.0 
09:04:36,1827.0 
09:04:41,1827.5 
09:04:43,1826.5 
09:04:45,1826.5 
09:04:47,1826.5 
09:04:50,1827.0 
09:04:52,1827.5 
09:04:54,1827.0 
09:04:56,1828.0 
09:04:58,1828.5 
09:05:01,1827.5 
09:05:03,1828.5 
09:05:05,1829.0 
09:05:07,1827.5 
09:05:09,1828.5 
09:05:11,1828.0 
09:05:12,1828.5 
09:05:15,1828.5 
09:05:16,1828.0 
09:05:18,1827.0 
09:05:20,1827.0 
09:05:23,1827.5 
09:05:25,1828.0 
09:05:30,1828.0 
09:05:31,1827.0 
09:05:33,1828.0 
09:05:34,1828.5 
09:05:37,1828.5 
09:05:39,1828.0 
09:05:41,1827.5 
09:05:42,1828.0 
09:05:45,1828.0 
09:05:47,1827.5 
09:05:49,1826.5 
09:05:52,1826.5 
09:05:54,1827.0 
09:05:55,1827.0 
09:05:58,1826.5 
09:06:00,1826.0 
09:06:01,1826.5 
09:06:04,1826.5 
09:06:06,1825.5 
09:06:08,1825.5 
09:06:10,1826.0 
09:06:11,1826.0 
09:06:13,1826.0 
09:06:15,1827.0 
09:06:17,1827.5 
09:06:19,1827.0 
09:06:21,1827.0 
09:06:23,1828.0 
09:06:25,1827.5 
09:06:28,1828.5 
09:06:30,1828.0 
09:06:31,1828.0 
09:06:34,1828.5 
09:06:37,1828.5 
09:06:40,1829.0 
09:06:42,1829.0 
09:06:43,1828.5 
09:06:46,1829.0 
09:06:48,1829.0 
09:06:50,1829.0 
09:06:52,1829.0 
09:06:54,1828.5 
09:06:56,1828.5 
09:06:58,1828.5 
09:07:00,1828.5 
09:07:02,1830.0 
09:07:04,1830.5 
09:07:07,1831.0 
09:07:08,1831.5 
09:07:09,1831.5 
09:07:13,1832.0 
09:07:15,1832.0 
09:07:17,1831.0 
09:07:19,1831.5 
09:07:21,1831.0 
09:07:23,1832.0 
09:07:24,1832.0 
09:07:27,1831.0 
09:07:29,1831.0 
09:07:31,1830.0 
09:07:33,1828.5 
09:07:35,1829.0 
09:07:37,1829.0 
09:07:38,1829.0 
09:07:40,1828.5 
09:07:43,1829.0 
09:07:45,1829.5 
09:07:47,1828.5 
09:07:51,1829.0 
09:07:52,1829.0 
09:07:54,1829.5 
09:07:56,1829.0 
09:07:58,1829.5 
09:08:00,1830.5 
09:08:03,1829.5 
09:08:05,1830.0 
09:08:07,1829.5 
09:08:09,1830.0 
09:08:11,1829.5 
09:08:12,1830.0 
09:08:14,1830.0 
09:08:16,1831.0 
09:08:18,1830.0 
09:08:20,1831.0 
09:08:22,1830.5 
09:08:24,1830.0 
09:08:26,1830.0 
09:08:28,1831.0 
09:08:30,1830.5 
09:08:33,1830.5 
09:08:35,1831.0 
09:08:37,1830.5 
09:08:39,1831.0 
09:08:41,1831.5 
09:08:43,1831.0 
09:08:44,1831.0 
09:08:47,1829.5 
09:08:48,1829.5 
09:08:51,1830.0 
09:08:53,1829.5 
09:08:54,1829.5 
09:08:56,1829.0 
09:08:59,1829.5 
09:09:01,1829.0 
09:09:04,1828.5 
09:09:07,1828.0 
09:09:08,1828.5 
09:09:10,1828.5 
09:09:12,1829.0 
09:09:14,1828.5 
09:09:16,1828.0 
09:09:19,1828.5 
09:09:20,1828.5 
09:09:22,1829.0 
09:09:24,1828.5 
09:09:26,1829.0 
09:09:28,1829.5 
09:09:29,1829.5 
09:09:32,1829.0 
09:09:34,1829.0 
09:09:36,1829.0 
09:09:38,1829.5 
09:09:39,1830.0 
09:09:43,1830.0 
09:09:44,1830.0 
09:09:47,1829.5 
09:09:50,1830.5 
09:09:53,1831.0 
09:09:55,1830.5 
09:09:56,1831.0 
09:10:00,1830.5 
09:10:02,1831.0 
09:10:04,1831.0 
09:10:06,1831.0 
09:10:08,1830.5 
09:10:09,1831.0 
09:10:11,1831.0 
09:10:13,1830.0 
09:10:16,1830.0 
09:10:19,1829.5 
09:10:21,1830.0 
09:10:23,1830.0 
09:10:26,1830.0 
09:10:28,1830.5 
09:10:32,1829.5 
09:10:33,1829.0 
09:10:36,1829.5 
09:10:38,1829.0 
09:10:40,1828.5 
