日付,時刻,始値,高値,安値,終値,出来高,TREND,EP,AF,PSAR,TYP Price,RawMF,PositiveMF,NegativeMF,PMF,NMF,MFI
2025/01/10,09:00,1910.5 ,1917.0 ,1905.5 ,1908.0 ,3857100,,,,,1910.17,7367703850.0,7367703850.0,,,,
2025/01/10,09:01,1907.5 ,1907.5 ,1898.0 ,1898.0 ,2637100,-1,1898.0,0.02,1898.000,1901.17,5013566616.7,,5013566616.7,,,
2025/01/10,09:02,1898.5 ,1900.0 ,1891.0 ,1892.5 ,1091000,1,1891.0,0.02,1898.000,1894.50,2066899500.0,,2066899500.0,,,
2025/01/10,09:03,1892.5 ,1895.5 ,1891.0 ,1895.0 ,378000,-1,1891.0,0.02,1891.000,1893.83,715869000.0,,715869000.0,,,
2025/01/10,09:04,1895.0 ,1902.0 ,1894.5 ,1901.5 ,440900,1,1902.0,0.02,1891.000,1899.33,837416066.7,837416066.7,,,,
2025/01/10,09:05,1901.5 ,1907.0 ,1901.5 ,1902.0 ,481200,1,1907.0,0.04,1891.640,1903.50,915964200.0,915964200.0,,,,
2025/01/10,09:06,1902.0 ,1903.0 ,1899.5 ,1901.0 ,289600,1,1907.0,0.04,1892.254,1901.17,550577866.7,,550577866.7,,,
2025/01/10,09:07,1901.0 ,1903.0 ,1898.5 ,1902.5 ,228500,1,1907.0,0.04,1892.844,1901.33,434454666.7,434454666.7,,,,
2025/01/10,09:08,1903.0 ,1906.0 ,1901.5 ,1904.0 ,182600,1,1907.0,0.04,1893.410,1903.83,347639966.7,347639966.7,,,,
2025/01/10,09:09,1903.5 ,1906.0 ,1902.5 ,1905.0 ,186800,1,1907.0,0.04,1893.954,1904.50,355760600.0,355760600.0,,,,
2025/01/10,09:10,1905.5 ,1909.0 ,1905.0 ,1908.5 ,334100,1,1909.0,0.06,1894.857,1907.50,637295750.0,637295750.0,,,,
2025/01/10,09:11,1908.5 ,1911.5 ,1908.5 ,1911.0 ,291300,1,1911.5,0.08,1896.188,1910.33,556480100.0,556480100.0,,,,
2025/01/10,09:12,1911.0 ,1913.0 ,1910.5 ,1913.0 ,357000,1,1913.0,0.10,1897.869,1912.17,682643500.0,682643500.0,,,,
2025/01/10,09:13,1913.0 ,1913.0 ,1910.5 ,1911.0 ,145400,1,1913.0,0.10,1899.382,1911.50,277932100.0,,277932100.0,12135358700,8624845083,58.45
2025/01/10,09:14,1910.5 ,1910.5 ,1906.5 ,1907.5 ,252800,1,1913.0,0.10,1900.744,1908.17,482384533.3,,482384533.3,4767654850,9107229617,34.36
2025/01/10,09:15,1907.0 ,1909.0 ,1904.0 ,1905.0 ,238000,1,1913.0,0.10,1901.970,1906.00,453628000.0,,453628000.0,4767654850,4547291000,51.18
2025/01/10,09:16,1905.0 ,1906.5 ,1904.0 ,1906.5 ,85600,1,1913.0,0.10,1903.073,1905.67,163125066.7,,163125066.7,4767654850,2643516567,64.33
2025/01/10,09:17,1907.0 ,1910.0 ,1907.0 ,1908.0 ,147300,1,1913.0,0.10,1904.066,1908.33,281097500.0,281097500.0,,5048752350,1927647567,72.37
2025/01/10,09:18,1908.5 ,1908.5 ,1906.0 ,1907.5 ,148200,1,1913.0,0.10,1904.959,1907.33,282666800.0,,282666800.0,4211336283,2210314367,65.58
2025/01/10,09:19,1907.5 ,1909.0 ,1907.0 ,1908.0 ,132700,1,1913.0,0.10,1905.763,1908.00,253191600.0,253191600.0,,3548563683,2210314367,61.62
2025/01/10,09:20,1908.0 ,1909.0 ,1907.5 ,1909.0 ,84100,1,1913.0,0.10,1906.487,1908.50,160504850.0,160504850.0,,3709068533,1659736500,69.09
2025/01/10,09:21,1909.0 ,1913.5 ,1908.0 ,1911.5 ,491500,1,1913.5,0.12,1907.328,1911.00,939256500.0,939256500.0,,4213870367,1659736500,71.74
2025/01/10,09:22,1911.5 ,1912.5 ,1911.0 ,1911.5 ,156700,1,1913.5,0.12,1908.069,1911.67,299558166.7,299558166.7,,4165788567,1659736500,71.51
2025/01/10,09:23,1911.5 ,1913.0 ,1910.5 ,1912.0 ,121000,1,1913.5,0.12,1908.721,1911.83,231331833.3,231331833.3,,4041359800,1659736500,70.89
2025/01/10,09:24,1913.0 ,1917.0 ,1912.5 ,1915.5 ,521000,1,1917.0,0.14,1909.880,1915.00,997715000.0,997715000.0,,4401779050,1659736500,72.62
2025/01/10,09:25,1915.5 ,1916.0 ,1911.0 ,1911.5 ,137500,1,1917.0,0.14,1910.877,1912.83,263014583.3,,263014583.3,3845298950,1922751083,66.67
2025/01/10,09:26,1912.0 ,1912.5 ,1910.0 ,1910.0 ,171500,-1,1912.5,0.02,1917.000,1910.83,327707916.7,,327707916.7,3162655450,2250459000,58.43
2025/01/10,09:27,1910.0 ,1911.5 ,1909.0 ,1911.0 ,164600,-1,1909.0,0.04,1916.680,1910.50,314468300.0,,314468300.0,3162655450,2286995200,58.03
2025/01/10,09:28,1910.5 ,1913.5 ,1910.5 ,1913.5 ,102700,-1,1909.0,0.04,1916.373,1912.50,196413750.0,196413750.0,,3359069200,1804610667,65.05
2025/01/10,09:29,1913.0 ,1914.0 ,1911.5 ,1911.5 ,168400,-1,1909.0,0.04,1916.078,1912.33,322036933.3,,322036933.3,3359069200,1673019600,66.75
2025/01/10,09:30,1911.5 ,1912.5 ,1910.5 ,1910.5 ,86200,-1,1909.0,0.04,1915.795,1911.17,164742566.7,,164742566.7,3359069200,1674637100,66.73
2025/01/10,09:31,1910.0 ,1911.0 ,1908.5 ,1909.5 ,203400,-1,1908.5,0.06,1915.357,1909.67,388426200.0,,388426200.0,3077971700,2063063300,59.87
2025/01/10,09:32,1909.0 ,1909.0 ,1906.5 ,1908.0 ,235900,-1,1906.5,0.08,1914.649,1907.83,450057883.3,,450057883.3,3077971700,2230454383,57.98
2025/01/10,09:33,1907.5 ,1910.0 ,1907.0 ,1907.5 ,201300,-1,1906.5,0.08,1913.997,1908.17,384113950.0,384113950.0,,3208894050,2230454383,58.99
2025/01/10,09:34,1907.0 ,1907.5 ,1905.5 ,1906.0 ,154900,-1,1905.5,0.10,1913.147,1906.33,295291033.3,,295291033.3,3048389200,2525745417,54.69
2025/01/10,09:35,1906.0 ,1906.5 ,1904.5 ,1906.0 ,355100,-1,1904.5,0.12,1912.109,1905.67,676702233.3,,676702233.3,2109132700,3202447650,39.71
